,Adams,Allen,Anderson,Bailey,Baker,Barnes,Bell,Bennett,Brooks,Brown,Butler,Campbell,Carter,Clark,Collins,Cook,Cooper,Cox,Cruz,Davis,Diaz,Edwards,Evans,Fisher,Flores,Foster,Garcia,Gomez,Gonzalez,Gray,Green,Gutierrez,Hall,Harris,Hernandez,Hill,Howard,Hughes,Jackson,James,Jenkins,Johnson,Jones,Kelly,King,Lee,Lewis,Long,Lopez,Martin,Martinez,Miller,Mitchell,Moore,Morales,Morgan,Morris,Murphy,Myers,Nelson,Nguyen,Ortiz,Parker,Perez,Perry,Peterson,Phillips,Powell,Price,Ramirez,Reed,Reyes,Richardson,Rivera,Roberts,Robinson,Rodriguez,Rogers,Ross,Russell,Sanchez,Sanders,Scott,Smith,Stewart,Sullivan,Taylor,Thomas,Thompson,Torres,Turner,Walker,Ward,Watson,White,Williams,Wilson,Wood,Wright,Young
Butler,"-0,0326340326","-0,013986014","-0,0303030303","-0,0396270396","-0,0163170163","-0,013986014","-0,0303030303","-0,034965035","-0,0186480186","-0,034965035","-0,0046620047","-0,0233100233","-0,0372960373","-0,013986014","-0,0163170163","-0,0303030303","-0,006993007","-0,0303030303","-0,0442890443","-0,006993007","-0,0512820513","-0,0186480186","-0,0116550117","0,9813519814","-0,0233100233","-0,0093240093","-0,006993007","-0,006993007","-0,013986014","-0,0023310023","-0,0303030303","-0,013986014","-0,013986014","-0,013986014","-0,013986014","-0,041958042","-0,0093240093","-0,0442890443","-0,0116550117","-0,0396270396","-0,0303030303","-0,0256410256","-0,034965035","-0,0116550117","-0,034965035","-0,0116550117","-0,034965035","-0,0046620047","-0,0023310023","-0,006993007","-0,0023310023","-0,013986014","-0,0116550117","-0,0233100233","-0,0116550117","-0,034965035","-0,0256410256","-0,0116550117","-0,0303030303","-0,0186480186","-0,0093240093","-0,034965035",0,"-0,0303030303","-0,0536130536","-0,0046620047","-0,0233100233","-0,0023310023","0,9836829837","-0,0093240093","-0,006993007","-0,0093240093","-0,0046620047","-0,027972028","-0,0256410256","-0,0372960373","-0,0233100233","-0,006993007","-0,0093240093","-0,0233100233","-0,006993007","-0,006993007","-0,0046620047","-0,0256410256","-0,0396270396","-0,020979021","-0,0466200466","-0,0046620047","-0,0046620047","-0,034965035","-0,0186480186","-0,0326340326","-0,0116550117","-0,0372960373","-0,006993007","-0,006993007","-0,041958042","-0,0116550117","-0,0093240093","-0,0093240093"
Campbell,"-0,1631701632","-0,0699300699","0,8484848485","-0,1981351981","-0,0815850816","-0,0699300699","0,8484848485","-0,1748251748","-0,0932400932","-0,1748251748","-0,0233100233","-0,1165501166","-0,1864801865","-0,0699300699","-0,0815850816","0,8484848485","-0,034965035","0,8484848485","-0,2214452214","-0,034965035","-0,2564102564","-0,0932400932","-0,0582750583","-0,0932400932","-0,1165501166","-0,0466200466","-0,034965035","-0,034965035","-0,0699300699","-0,0116550117","-0,1515151515","-0,0699300699","-0,0699300699","-0,0699300699","-0,0699300699","-0,2097902098","-0,0466200466","-0,2214452214","-0,0582750583","-0,1981351981","0,8484848485","0,8717948718","-0,1748251748","-0,0582750583","-0,1748251748","-0,0582750583","-0,1748251748","-0,0233100233","-0,0116550117","-0,034965035","-0,0116550117","-0,0699300699","-0,0582750583","-0,1165501166","-0,0582750583","-0,1748251748","0,8717948718","-0,0582750583","-0,1515151515","-0,0932400932","-0,0466200466","-0,1748251748",0,"-0,1515151515","-0,2680652681","-0,0233100233","-0,1165501166","-0,0116550117","-0,0815850816","-0,0466200466","-0,034965035","-0,0466200466","-0,0233100233","-0,1398601399","-0,1282051282","-0,1864801865","0,8834498834","-0,034965035","-0,0466200466","0,8834498834","-0,034965035","-0,034965035","-0,0233100233","0,8717948718","-0,1981351981","-0,1048951049","-0,2331002331","-0,0233100233","-0,0233100233","-0,1748251748","-0,0932400932","-0,1631701632","-0,0582750583","-0,1864801865","-0,034965035","-0,034965035","-0,2097902098","-0,0582750583","-0,0466200466","-0,0466200466"
Carter,"0,7389277389","-0,1118881119","-0,2424242424","0,682983683","-0,1305361305","-0,1118881119","-0,2424242424","-0,2797202797","-0,1491841492","0,7202797203","-0,0372960373","-0,1864801865","-0,2983682984","-0,1118881119","-0,1305361305","-0,2424242424","-0,0559440559","-0,2424242424","0,6456876457","-0,0559440559","0,5897435897","-0,1491841492","-0,0932400932","-0,1491841492","-0,1864801865","-0,0745920746","-0,0559440559","-0,0559440559","-0,1118881119","-0,0186480186","0,7575757576","-0,1118881119","-0,1118881119","-0,1118881119","-0,1118881119","0,6643356643","-0,0745920746","0,6456876457","-0,0932400932","0,682983683","-0,2424242424","-0,2051282051","-0,2797202797","-0,0932400932","0,7202797203","-0,0932400932","0,7202797203","-0,0372960373","-0,0186480186","-0,0559440559","-0,0186480186","-0,1118881119","-0,0932400932","-0,1864801865","-0,0932400932","-0,2797202797","-0,2051282051","-0,0932400932","-0,2424242424","-0,1491841492","-0,0745920746","-0,2797202797",0,"-0,2424242424","0,5710955711","-0,0372960373","-0,1864801865","-0,0186480186","-0,1305361305","-0,0745920746","-0,0559440559","-0,0745920746","-0,0372960373","-0,2237762238","-0,2051282051","0,7016317016","-0,1864801865","-0,0559440559","-0,0745920746","-0,1864801865","-0,0559440559","-0,0559440559","-0,0372960373","-0,2051282051","0,682983683","-0,1678321678","0,627039627","-0,0372960373","-0,0372960373","-0,2797202797","-0,1491841492","-0,2610722611","-0,0932400932","0,7016317016","-0,0559440559","-0,0559440559","-0,3356643357","-0,0932400932","-0,0745920746","-0,0745920746"
Clark,"-0,0979020979","-0,041958042","-0,0909090909","-0,1188811189","-0,048951049","-0,041958042","-0,0909090909","-0,1048951049","-0,0559440559","-0,1048951049","-0,013986014","-0,0699300699","-0,1118881119","-0,041958042","-0,048951049","-0,0909090909","-0,020979021","-0,0909090909","-0,1328671329","-0,020979021","-0,1538461538","-0,0559440559","-0,034965035","0,9440559441","-0,0699300699","-0,027972028","-0,020979021","-0,020979021","-0,041958042","-0,006993007","-0,0909090909","-0,041958042","-0,041958042","-0,041958042","-0,041958042","-0,1258741259","-0,027972028","-0,1328671329","-0,034965035","-0,1188811189","-0,0909090909","-0,0769230769","-0,1048951049","-0,034965035","-0,1048951049","-0,034965035","-0,1048951049","-0,013986014","-0,006993007","0,979020979","-0,006993007","-0,041958042","-0,034965035","-0,0699300699","-0,034965035","-0,1048951049","-0,0769230769","-0,034965035","-0,0909090909","0,9440559441","-0,027972028","-0,1048951049",0,"-0,0909090909","-0,1608391608","-0,013986014","-0,0699300699","-0,006993007","-0,048951049","-0,027972028","-0,020979021","-0,027972028","-0,013986014","-0,0839160839","0,9230769231","-0,1118881119","-0,0699300699","-0,020979021","-0,027972028","-0,0699300699","-0,020979021","-0,020979021","-0,013986014","-0,0769230769","-0,1188811189","-0,0629370629","-0,1398601399","-0,013986014","-0,013986014","-0,1048951049","0,9440559441","-0,0979020979","0,965034965","-0,1118881119","-0,020979021","-0,020979021","-0,1258741259","-0,034965035","-0,027972028","-0,027972028"
Collins,"-0,1142191142","-0,048951049","-0,1060606061","0,8613053613","-0,0571095571","-0,048951049","-0,1060606061","-0,1223776224","-0,0652680653","-0,1223776224","-0,0163170163","-0,0815850816","-0,1305361305","-0,048951049","-0,0571095571","-0,1060606061","-0,0244755245","-0,1060606061","0,844988345","-0,0244755245","-0,1794871795","-0,0652680653","-0,0407925408","0,9347319347","-0,0815850816","-0,0326340326","-0,0244755245","-0,0244755245","-0,048951049","-0,0081585082","-0,1060606061","-0,048951049","0,951048951","-0,048951049","-0,048951049","-0,1468531469","-0,0326340326","-0,155011655","-0,0407925408","-0,1386946387","-0,1060606061","-0,0897435897","-0,1223776224","-0,0407925408","-0,1223776224","-0,0407925408","-0,1223776224","-0,0163170163","-0,0081585082","-0,0244755245","-0,0081585082","-0,048951049","-0,0407925408","-0,0815850816","-0,0407925408","-0,1223776224","-0,0897435897","-0,0407925408","0,8939393939","-0,0652680653","-0,0326340326","-0,1223776224",0,"0,8939393939","-0,1876456876","-0,0163170163","-0,0815850816","-0,0081585082","-0,0571095571","-0,0326340326","-0,0244755245","-0,0326340326","-0,0163170163","-0,0979020979","-0,0897435897","-0,1305361305","-0,0815850816","-0,0244755245","-0,0326340326","-0,0815850816","-0,0244755245","-0,0244755245","-0,0163170163","-0,0897435897","-0,1386946387","-0,0734265734","-0,1631701632","-0,0163170163","-0,0163170163","-0,1223776224","-0,0652680653","-0,1142191142","-0,0407925408","-0,1305361305","-0,0244755245","-0,0244755245","0,8531468531","-0,0407925408","-0,0326340326","-0,0326340326"
Cook,"-0,2121212121","-0,0909090909","0,803030303","-0,2575757576","-0,1060606061","-0,0909090909","0,803030303","-0,2272727273","-0,1212121212","-0,2272727273","-0,0303030303","0,8484848485","-0,2424242424","-0,0909090909","-0,1060606061","-0,196969697","-0,0454545455","0,803030303","-0,2878787879","-0,0454545455","-0,3333333333","-0,1212121212","-0,0757575758","-0,1212121212","0,8484848485","-0,0606060606","-0,0454545455","-0,0454545455","-0,0909090909","-0,0151515152","-0,196969697","-0,0909090909","-0,0909090909","-0,0909090909","-0,0909090909","-0,2727272727","-0,0606060606","-0,2878787879","-0,0757575758","-0,2575757576","0,803030303","0,8333333333","-0,2272727273","-0,0757575758","-0,2272727273","-0,0757575758","-0,2272727273","-0,0303030303","-0,0151515152","-0,0454545455","-0,0151515152","-0,0909090909","-0,0757575758","0,8484848485","-0,0757575758","-0,2272727273","0,8333333333","-0,0757575758","-0,196969697","-0,1212121212","-0,0606060606","-0,2272727273",0,"-0,196969697","-0,3484848485","-0,0303030303","0,8484848485","-0,0151515152","-0,1060606061","-0,0606060606","-0,0454545455","-0,0606060606","-0,0303030303","-0,1818181818","-0,1666666667","-0,2424242424","0,8484848485","-0,0454545455","-0,0606060606","0,8484848485","-0,0454545455","-0,0454545455","-0,0303030303","0,8333333333","-0,2575757576","-0,1363636364","-0,303030303","-0,0303030303","-0,0303030303","-0,2272727273","-0,1212121212","-0,2121212121","-0,0757575758","-0,2424242424","-0,0454545455","-0,0454545455","-0,2727272727","-0,0757575758","-0,0606060606","-0,0606060606"
Cooper,"-0,048951049","-0,020979021","-0,0454545455","-0,0594405594","-0,0244755245","-0,020979021","-0,0454545455","-0,0524475524","-0,027972028","-0,0524475524","-0,006993007","-0,034965035","-0,0559440559","-0,020979021","-0,0244755245","-0,0454545455","-0,0104895105","-0,0454545455","-0,0664335664","-0,0104895105","-0,0769230769","-0,027972028","-0,0174825175","-0,027972028","-0,034965035","-0,013986014","-0,0104895105","0,9895104895","-0,020979021","-0,0034965035","-0,0454545455","-0,020979021","-0,020979021","-0,020979021","-0,020979021","-0,0629370629","-0,013986014","-0,0664335664","-0,0174825175","-0,0594405594","-0,0454545455","-0,0384615385","-0,0524475524","0,9825174825","-0,0524475524","-0,0174825175","-0,0524475524","-0,006993007","-0,0034965035","-0,0104895105","-0,0034965035","-0,020979021","-0,0174825175","-0,034965035","-0,0174825175","-0,0524475524","-0,0384615385","-0,0174825175","-0,0454545455","-0,027972028","-0,013986014","-0,0524475524",0,"-0,0454545455","-0,0804195804","-0,006993007","-0,034965035","-0,0034965035","-0,0244755245","-0,013986014","-0,0104895105","-0,013986014","-0,006993007","-0,041958042","-0,0384615385","-0,0559440559","-0,034965035","-0,0104895105","-0,013986014","-0,034965035","-0,0104895105","-0,0104895105","-0,006993007","-0,0384615385","-0,0594405594","-0,0314685315","-0,0699300699","-0,006993007","-0,006993007","-0,0524475524","-0,027972028","-0,048951049","0,9825174825","-0,0559440559","-0,0104895105","-0,0104895105","-0,0629370629","-0,0174825175","-0,013986014","-0,013986014"
Cox,"-0,2121212121","-0,0909090909","0,803030303","-0,2575757576","-0,1060606061","-0,0909090909","0,803030303","-0,2272727273","-0,1212121212","-0,2272727273","-0,0303030303","0,8484848485","-0,2424242424","-0,0909090909","-0,1060606061","0,803030303","-0,0454545455","-0,196969697","-0,2878787879","-0,0454545455","-0,3333333333","-0,1212121212","-0,0757575758","-0,1212121212","0,8484848485","-0,0606060606","-0,0454545455","-0,0454545455","-0,0909090909","-0,0151515152","-0,196969697","-0,0909090909","-0,0909090909","-0,0909090909","-0,0909090909","-0,2727272727","-0,0606060606","-0,2878787879","-0,0757575758","-0,2575757576","0,803030303","0,8333333333","-0,2272727273","-0,0757575758","-0,2272727273","-0,0757575758","-0,2272727273","-0,0303030303","-0,0151515152","-0,0454545455","-0,0151515152","-0,0909090909","-0,0757575758","0,8484848485","-0,0757575758","-0,2272727273","0,8333333333","-0,0757575758","-0,196969697","-0,1212121212","-0,0606060606","-0,2272727273",0,"-0,196969697","-0,3484848485","-0,0303030303","0,8484848485","-0,0151515152","-0,1060606061","-0,0606060606","-0,0454545455","-0,0606060606","-0,0303030303","-0,1818181818","-0,1666666667","-0,2424242424","0,8484848485","-0,0454545455","-0,0606060606","0,8484848485","-0,0454545455","-0,0454545455","-0,0303030303","0,8333333333","-0,2575757576","-0,1363636364","-0,303030303","-0,0303030303","-0,0303030303","-0,2272727273","-0,1212121212","-0,2121212121","-0,0757575758","-0,2424242424","-0,0454545455","-0,0454545455","-0,2727272727","-0,0757575758","-0,0606060606","-0,0606060606"
Cruz,"0,68997669","-0,1328671329","-0,2878787879","0,6235431235","-0,155011655","-0,1328671329","-0,2878787879","0,6678321678","-0,1771561772","0,6678321678","-0,0442890443","-0,2214452214","0,6456876457","-0,1328671329","0,844988345","-0,2878787879","-0,0664335664","-0,2878787879","-0,4207459207","-0,0664335664","0,5128205128","-0,1771561772","-0,1107226107","-0,1771561772","-0,2214452214","-0,0885780886","-0,0664335664","-0,0664335664","-0,1328671329","-0,0221445221","-0,2878787879","-0,1328671329","-0,1328671329","-0,1328671329","0,8671328671","-0,3986013986","-0,0885780886","0,5792540793","-0,1107226107","-0,3764568765","-0,2878787879","-0,2435897436","-0,3321678322","-0,1107226107","-0,3321678322","-0,1107226107","-0,3321678322","-0,0442890443","-0,0221445221","-0,0664335664","-0,0221445221","-0,1328671329","-0,1107226107","-0,2214452214","-0,1107226107","0,6678321678","-0,2435897436","-0,1107226107","0,7121212121","-0,1771561772","-0,0885780886","-0,3321678322",0,"0,7121212121","0,4906759907","-0,0442890443","-0,2214452214","-0,0221445221","-0,155011655","-0,0885780886","-0,0664335664","-0,0885780886","-0,0442890443","-0,2657342657","-0,2435897436","0,6456876457","-0,2214452214","-0,0664335664","-0,0885780886","-0,2214452214","-0,0664335664","-0,0664335664","-0,0442890443","-0,2435897436","0,6235431235","-0,1993006993","0,5571095571","-0,0442890443","-0,0442890443","-0,3321678322","-0,1771561772","0,68997669","-0,1107226107","0,6456876457","-0,0664335664","-0,0664335664","0,6013986014","-0,1107226107","-0,0885780886","-0,0885780886"
Davis,"-0,048951049","-0,020979021","-0,0454545455","-0,0594405594","-0,0244755245","-0,020979021","-0,0454545455","-0,0524475524","-0,027972028","-0,0524475524","-0,006993007","-0,034965035","-0,0559440559","-0,020979021","-0,0244755245","-0,0454545455","-0,0104895105","-0,0454545455","-0,0664335664","-0,0104895105","-0,0769230769","-0,027972028","-0,0174825175","-0,027972028","-0,034965035","-0,013986014","-0,0104895105","-0,0104895105","-0,020979021","-0,0034965035","-0,0454545455","-0,020979021","-0,020979021","-0,020979021","-0,020979021","-0,0629370629","0,986013986","-0,0664335664","-0,0174825175","-0,0594405594","-0,0454545455","-0,0384615385","-0,0524475524","-0,0174825175","-0,0524475524","-0,0174825175","-0,0524475524","-0,006993007","-0,0034965035","-0,0104895105","0,9965034965","-0,020979021","-0,0174825175","-0,034965035","-0,0174825175","-0,0524475524","-0,0384615385","-0,0174825175","-0,0454545455","-0,027972028","-0,013986014","-0,0524475524",0,"-0,0454545455","-0,0804195804","-0,006993007","-0,034965035","-0,0034965035","-0,0244755245","-0,013986014","-0,0104895105","-0,013986014","-0,006993007","-0,041958042","-0,0384615385","-0,0559440559","-0,034965035","-0,0104895105","-0,013986014","-0,034965035","-0,0104895105","-0,0104895105","-0,006993007","-0,0384615385","-0,0594405594","-0,0314685315","-0,0699300699","-0,006993007","-0,006993007","-0,0524475524","-0,027972028","-0,048951049","-0,0174825175","-0,0559440559","0,9895104895","-0,0104895105","-0,0629370629","-0,0174825175","-0,013986014","-0,013986014"
Diaz,"0,641025641","-0,1538461538","-0,3333333333","0,5641025641","-0,1794871795","-0,1538461538","-0,3333333333","0,6153846154","-0,2051282051","0,6153846154","-0,0512820513","-0,2564102564","0,5897435897","-0,1538461538","-0,1794871795","-0,3333333333","-0,0769230769","-0,3333333333","0,5128205128","-0,0769230769","-0,5641025641","-0,2051282051","-0,1282051282","-0,2051282051","-0,2564102564","-0,1025641026","-0,0769230769","-0,0769230769","-0,1538461538","-0,0256410256","0,6666666667","-0,1538461538","-0,1538461538","-0,1538461538","-0,1538461538","0,5384615385","-0,1025641026","0,5128205128","-0,1282051282","0,5641025641","-0,3333333333","-0,2820512821","0,6153846154","-0,1282051282","0,6153846154","-0,1282051282","0,6153846154","-0,0512820513","-0,0256410256","-0,0769230769","-0,0256410256","-0,1538461538","-0,1282051282","-0,2564102564","-0,1282051282","0,6153846154","-0,2820512821","-0,1282051282","-0,3333333333","-0,2051282051","-0,1025641026","0,6153846154",0,"-0,3333333333","0,4102564103","-0,0512820513","-0,2564102564","-0,0256410256","-0,1794871795","-0,1025641026","-0,0769230769","-0,1025641026","-0,0512820513","-0,3076923077","-0,2820512821","0,5897435897","-0,2564102564","-0,0769230769","-0,1025641026","-0,2564102564","-0,0769230769","-0,0769230769","-0,0512820513","-0,2820512821","0,5641025641","-0,2307692308","0,4871794872","-0,0512820513","-0,0512820513","0,6153846154","-0,2051282051","-0,358974359","-0,1282051282","0,5897435897","-0,0769230769","-0,0769230769","0,5384615385","-0,1282051282","-0,1025641026","-0,1025641026"
Edwards,"-0,1305361305","0,9440559441","-0,1212121212","-0,1585081585","-0,0652680653","-0,0559440559","-0,1212121212","0,8601398601","-0,0745920746","-0,1398601399","-0,0186480186","-0,0932400932","-0,1491841492","-0,0559440559","-0,0652680653","-0,1212121212","-0,027972028","-0,1212121212","-0,1771561772","-0,027972028","-0,2051282051","-0,0745920746","0,9533799534","-0,0745920746","-0,0932400932","-0,0372960373","-0,027972028","-0,027972028","-0,0559440559","-0,0093240093","-0,1212121212","-0,0559440559","-0,0559440559","-0,0559440559","-0,0559440559","-0,1678321678","-0,0372960373","-0,1771561772","-0,0466200466","-0,1585081585","-0,1212121212","-0,1025641026","0,8601398601","-0,0466200466","-0,1398601399","-0,0466200466","-0,1398601399","-0,0186480186","-0,0093240093","-0,027972028","-0,0093240093","-0,0559440559","-0,0466200466","-0,0932400932","-0,0466200466","0,8601398601","-0,1025641026","-0,0466200466","-0,1212121212","-0,0745920746","-0,0372960373","0,8601398601",0,"-0,1212121212","-0,2144522145","-0,0186480186","-0,0932400932","-0,0093240093","-0,0652680653","-0,0372960373","-0,027972028","-0,0372960373","-0,0186480186","-0,1118881119","-0,1025641026","-0,1491841492","-0,0932400932","-0,027972028","-0,0372960373","-0,0932400932","-0,027972028","-0,027972028","-0,0186480186","-0,1025641026","-0,1585081585","-0,0839160839","-0,1864801865","-0,0186480186","-0,0186480186","0,8601398601","-0,0745920746","-0,1305361305","-0,0466200466","-0,1491841492","-0,027972028","-0,027972028","0,8321678322","-0,0466200466","-0,0372960373","-0,0372960373"
Evans,"-0,0815850816","0,965034965","-0,0757575758","-0,0990675991","-0,0407925408","-0,034965035","-0,0757575758","-0,0874125874","-0,0466200466","-0,0874125874","-0,0116550117","-0,0582750583","-0,0932400932","-0,034965035","-0,0407925408","-0,0757575758","-0,0174825175","-0,0757575758","-0,1107226107","-0,0174825175","-0,1282051282","0,9533799534","-0,0291375291","-0,0466200466","-0,0582750583","-0,0233100233","-0,0174825175","-0,0174825175","-0,034965035","-0,0058275058","-0,0757575758","-0,034965035","0,965034965","0,965034965","-0,034965035","-0,1048951049","-0,0233100233","-0,1107226107","-0,0291375291","-0,0990675991","-0,0757575758","-0,0641025641","-0,0874125874","-0,0291375291","-0,0874125874","0,9708624709","-0,0874125874","-0,0116550117","-0,0058275058","-0,0174825175","-0,0058275058","-0,034965035","-0,0291375291","-0,0582750583","-0,0291375291","-0,0874125874","-0,0641025641","-0,0291375291","-0,0757575758","-0,0466200466","-0,0233100233","-0,0874125874",0,"-0,0757575758","-0,134032634","-0,0116550117","-0,0582750583","-0,0058275058","-0,0407925408","-0,0233100233","-0,0174825175","-0,0233100233","-0,0116550117","-0,0699300699","-0,0641025641","-0,0932400932","-0,0582750583","-0,0174825175","-0,0233100233","-0,0582750583","-0,0174825175","-0,0174825175","-0,0116550117","-0,0641025641","-0,0990675991","-0,0524475524","-0,1165501166","-0,0116550117","-0,0116550117","-0,0874125874","-0,0466200466","-0,0815850816","-0,0291375291","-0,0932400932","-0,0174825175","-0,0174825175","-0,1048951049","-0,0291375291","-0,0233100233","-0,0233100233"
Fisher,"-0,1305361305","-0,0559440559","-0,1212121212","-0,1585081585","-0,0652680653","-0,0559440559","-0,1212121212","-0,1398601399","-0,0745920746","-0,1398601399","0,9813519814","-0,0932400932","-0,1491841492","0,9440559441","0,9347319347","-0,1212121212","-0,027972028","-0,1212121212","-0,1771561772","-0,027972028","-0,2051282051","-0,0745920746","-0,0466200466","-0,0745920746","-0,0932400932","-0,0372960373","-0,027972028","-0,027972028","-0,0559440559","-0,0093240093","-0,1212121212","-0,0559440559","0,9440559441","-0,0559440559","-0,0559440559","-0,1678321678","-0,0372960373","-0,1771561772","0,9533799534","-0,1585081585","-0,1212121212","-0,1025641026","-0,1398601399","-0,0466200466","-0,1398601399","-0,0466200466","-0,1398601399","-0,0186480186","-0,0093240093","0,972027972","-0,0093240093","-0,0559440559","0,9533799534","-0,0932400932","-0,0466200466","-0,1398601399","-0,1025641026","-0,0466200466","-0,1212121212","-0,0745920746","-0,0372960373","-0,1398601399",0,"-0,1212121212","-0,2144522145","-0,0186480186","-0,0932400932","-0,0093240093","0,9347319347","-0,0372960373","-0,027972028","-0,0372960373","-0,0186480186","-0,1118881119","-0,1025641026","-0,1491841492","-0,0932400932","-0,027972028","-0,0372960373","-0,0932400932","-0,027972028","-0,027972028","-0,0186480186","-0,1025641026","-0,1585081585","-0,0839160839","-0,1864801865","-0,0186480186","-0,0186480186","-0,1398601399","-0,0745920746","-0,1305361305","-0,0466200466","-0,1491841492","-0,027972028","-0,027972028","-0,1678321678","-0,0466200466","-0,0372960373","-0,0372960373"
Flores,"-0,1631701632","-0,0699300699","0,8484848485","-0,1981351981","-0,0815850816","-0,0699300699","0,8484848485","-0,1748251748","-0,0932400932","-0,1748251748","-0,0233100233","-0,1165501166","-0,1864801865","-0,0699300699","-0,0815850816","0,8484848485","-0,034965035","0,8484848485","-0,2214452214","-0,034965035","-0,2564102564","-0,0932400932","-0,0582750583","-0,0932400932","-0,1165501166","-0,0466200466","-0,034965035","-0,034965035","-0,0699300699","-0,0116550117","-0,1515151515","-0,0699300699","-0,0699300699","-0,0699300699","-0,0699300699","-0,2097902098","-0,0466200466","-0,2214452214","-0,0582750583","-0,1981351981","0,8484848485","0,8717948718","-0,1748251748","-0,0582750583","-0,1748251748","-0,0582750583","-0,1748251748","-0,0233100233","-0,0116550117","-0,034965035","-0,0116550117","-0,0699300699","-0,0582750583","0,8834498834","-0,0582750583","-0,1748251748","0,8717948718","-0,0582750583","-0,1515151515","-0,0932400932","-0,0466200466","-0,1748251748",0,"-0,1515151515","-0,2680652681","-0,0233100233","0,8834498834","-0,0116550117","-0,0815850816","-0,0466200466","-0,034965035","-0,0466200466","-0,0233100233","-0,1398601399","-0,1282051282","-0,1864801865","-0,1165501166","-0,034965035","-0,0466200466","-0,1165501166","-0,034965035","-0,034965035","-0,0233100233","0,8717948718","-0,1981351981","-0,1048951049","-0,2331002331","-0,0233100233","-0,0233100233","-0,1748251748","-0,0932400932","-0,1631701632","-0,0582750583","-0,1864801865","-0,034965035","-0,034965035","-0,2097902098","-0,0582750583","-0,0466200466","-0,0466200466"
Foster,"-0,0652680653","-0,027972028","-0,0606060606","-0,0792540793","-0,0326340326","-0,027972028","-0,0606060606","-0,0699300699","-0,0372960373","-0,0699300699","-0,0093240093","-0,0466200466","-0,0745920746","-0,027972028","-0,0326340326","-0,0606060606","-0,013986014","-0,0606060606","-0,0885780886","-0,013986014","-0,1025641026","-0,0372960373","-0,0233100233","-0,0372960373","-0,0466200466","-0,0186480186","-0,013986014","-0,013986014","-0,027972028","-0,0046620047","-0,0606060606","-0,027972028","-0,027972028","-0,027972028","-0,027972028","-0,0839160839","-0,0186480186","-0,0885780886","-0,0233100233","-0,0792540793","-0,0606060606","-0,0512820513","-0,0699300699","-0,0233100233","-0,0699300699","-0,0233100233","-0,0699300699","-0,0093240093","-0,0046620047","-0,013986014","-0,0046620047","0,972027972","-0,0233100233","-0,0466200466","-0,0233100233","-0,0699300699","-0,0512820513","-0,0233100233","-0,0606060606","-0,0372960373","-0,0186480186","-0,0699300699",0,"-0,0606060606","-0,1072261072","-0,0093240093","-0,0466200466","-0,0046620047","-0,0326340326","-0,0186480186","-0,013986014","0,9813519814","-0,0093240093","-0,0559440559","-0,0512820513","-0,0745920746","-0,0466200466","-0,013986014","-0,0186480186","-0,0466200466","-0,013986014","-0,013986014","0,9906759907","-0,0512820513","-0,0792540793","-0,041958042","-0,0932400932","0,9906759907","-0,0093240093","-0,0699300699","-0,0372960373","-0,0652680653","-0,0233100233","-0,0745920746","-0,013986014","-0,013986014","-0,0839160839","-0,0233100233","-0,0186480186","-0,0186480186"
Garcia,"-0,048951049","-0,020979021","-0,0454545455","-0,0594405594","-0,0244755245","-0,020979021","-0,0454545455","-0,0524475524","-0,027972028","-0,0524475524","-0,006993007","-0,034965035","-0,0559440559","-0,020979021","-0,0244755245","-0,0454545455","-0,0104895105","-0,0454545455","-0,0664335664","-0,0104895105","-0,0769230769","-0,027972028","-0,0174825175","-0,027972028","-0,034965035","-0,013986014","-0,0104895105","-0,0104895105","-0,020979021","-0,0034965035","-0,0454545455","-0,020979021","-0,020979021","-0,020979021","-0,020979021","-0,0629370629","-0,013986014","-0,0664335664","-0,0174825175","-0,0594405594","-0,0454545455","-0,0384615385","-0,0524475524","-0,0174825175","-0,0524475524","-0,0174825175","-0,0524475524","-0,006993007","-0,0034965035","-0,0104895105","-0,0034965035","0,979020979","-0,0174825175","-0,034965035","-0,0174825175","-0,0524475524","-0,0384615385","-0,0174825175","-0,0454545455","-0,027972028","-0,013986014","-0,0524475524",0,"-0,0454545455","-0,0804195804","-0,006993007","-0,034965035","-0,0034965035","-0,0244755245","-0,013986014","0,9895104895","-0,013986014","-0,006993007","-0,041958042","-0,0384615385","-0,0559440559","-0,034965035","-0,0104895105","-0,013986014","-0,034965035","0,9895104895","-0,0104895105","-0,006993007","-0,0384615385","-0,0594405594","-0,0314685315","-0,0699300699","-0,006993007","-0,006993007","-0,0524475524","-0,027972028","-0,048951049","-0,0174825175","-0,0559440559","-0,0104895105","-0,0104895105","-0,0629370629","-0,0174825175","-0,013986014","-0,013986014"
